fclass,Count
alpine_hut,361
archaeological,165
arts_centre,89
artwork,534
atm,1.136
attraction,800
bakery,2.766
bank,2.468
bar,1.700
battlefield,4
beauty_shop,521
bench,1.232
beverages,813
bicycle_rental,116
bicycle_shop,406
biergarten,27
bookshop,134
butcher,832
cafe,2.588
camera_surveillance,862
camp_site,482
car_dealership,215
car_rental,29
car_wash,297
caravan_site,8
castle,5
chalet,99
chemist,603
cinema,131
clinic,466
clothes,1.919
college,336
comms_tower,372
community_centre,370
computer_shop,197
convenience,5.016
courthouse,130
dentist,555
department_store,286
doctors,716
dog_park,40
doityourself,1.466
drinking_water,214
embassy,62
fast_food,2.746
fire_station,173
florist,237
food_court,68
fort,1
fountain,150
furniture_shop,478
garden_centre,90
general,122
gift_shop,215
golf_course,5
graveyard,28
greengrocer,618
guesthouse,721
hairdresser,1.600
hospital,1.068
hostel,1.049
hotel,3.462
hunting_stand,16
jeweller,145
kindergarten,298
kiosk,238
laundry,498
library,254
lighthouse,13
mall,150
market_place,309
memorial,482
mobile_phone_shop,408
monument,502
motel,174
museum,192
newsagent,13
nightclub,332
nursing_home,16
observation_tower,21
optician,307
outdoor_shop,103
park,1.426
pharmacy,2.934
picnic_site,119
pitch,354
playground,617
police,804
post_box,84
post_office,476
prison,21
pub,320
public_building,70
recycling,67
recycling_clothes,2
recycling_glass,39
recycling_metal,4
recycling_paper,1
restaurant,9.685
ruins,51
school,5.179
shelter,177
shoe_shop,691
sports_centre,256
sports_shop,122
stadium,42
stationery,872
supermarket,3.240
swimming_pool,324
telephone,375
theatre,118
theme_park,22
toilet,345
tourist_info,739
tower,206
town_hall,408
toy_shop,100
track,10
travel_agent,657
university,142
vending_any,40
vending_machine,10
vending_parking,2
veterinary,454
video_shop,22
viewpoint,801
waste_basket,639
wastewater_plant,19
water_mill,13
water_tower,64
water_well,387
water_works,35
wayside_cross,26
wayside_shrine,77
windmill,4
zoo,8
