OID_;osm_id;code;fclass;name
3;255471144;2904;fountain; 
4;261139202;2541;car_dealership;Renault
5;261664692;2528;greengrocer; 
6;262567789;2301;restaurant;La Casa de la Abuela
7;264785624;2301;restaurant;Vegetariano Vega
8;264785679;2301;restaurant;Vegetariano Ajonjoli
9;265024916;2301;restaurant;Desayunadero De La 42
10;265024917;2301;restaurant;Vegetartiano Novilunio
11;265501503;2303;cafe;Juan Valdez
12;265501535;2303;cafe;La Cafeteria
13;265686842;2501;supermarket;Carulla
14;266045580;2722;museum;Museo Iglesia Santa Clara
15;267030959;2082;school;IED Jorge Eliécer Gaitán
16;268633420;2008;town_hall;Alcaldía Local de Usaquén
17;268636471;2301;restaurant;Shi Zen
18;268636486;2301;restaurant;Crepes & Waffles
25;277319528;2082;school;GFC Secundaria
74;292776528;2601;bank;Davivienda
75;292949941;2602;atm;Banco Popular
76;292950444;2602;atm;BBVA
84;313367674;2401;hotel;Bogotá Marriott
85;313416844;2110;hospital;Clínica El Bosque
102;317888910;2401;hotel;Hotel Tequendama
107;322777742;2742;viewpoint;Mirador La Paloma
118;325232445;2084;college;Voladero 190
119;326170171;2111;clinic;Fundación Cardio Infantil Urgencias
121;326291369;2701;tourist_info; 
122;326438501;2251;sports_centre;HardBody
124;326846855;2505;department_store;Los 3 Elefantes - La Esperanza
127;327359639;2505;department_store;Granada Hills
128;327451320;2601;bank;Davivienda
146;333749813;2722;museum;Museo Histórico Policia
147;333751267;2405;hostel;Chocolate Hostel
153;334407033;2401;hotel;Hotel Andes Plaza
156;335617687;2082;school;IED Alqueria
167;339057694;2515;bookshop;Panamericana
172;339855018;2082;school;Colegio Distrital Antonio Nariño - Sede A
174;340051950;2205;playground; 
175;340066172;2205;playground; 
176;340071310;2001;police;CAI Alhambra
177;340194163;2302;fast_food;El Corral
180;340424843;2101;pharmacy; 
181;340424893;2101;pharmacy; 
182;340425024;2511;convenience; 
183;340429454;2303;cafe;Juan Valdez Café
185;343122528;2723;monument;Monumento al Silencio
