fclass,Count
alpine_hut,2
archaeological,3
arts_centre,10
artwork,48
atm,235
attraction,26
bakery,1.042
bank,591
bar,484
beauty_shop,282
bench,145
beverages,162
bicycle_rental,21
bicycle_shop,158
biergarten,5
bookshop,68
butcher,351
cafe,968
camera_surveillance,34
camp_site,6
car_dealership,79
car_rental,6
car_wash,78
caravan_site,1
castle,5
chalet,1
chemist,168
cinema,36
clothes,837
college,45
comms_tower,24
community_centre,61
computer_shop,65
convenience,983
courthouse,15
dentist,307
department_store,97
doctors,56
dog_park,2
doityourself,542
drinking_water,8
embassy,21
fast_food,898
fire_station,13
florist,132
food_court,21
fountain,25
furniture_shop,234
garden_centre,3
gift_shop,46
graveyard,3
greengrocer,251
guesthouse,29
hairdresser,812
hospital,82
hostel,62
hotel,154
hunting_stand,4
ice_rink,1
jeweller,58
kindergarten,70
kiosk,20
laundry,339
library,41
mall,12
memorial,42
mobile_phone_shop,152
monument,10
motel,37
museum,32
newsagent,1
nightclub,50
optician,190
outdoor_shop,22
park,57
pharmacy,1.060
picnic_site,5
pitch,24
playground,142
police,80
post_box,10
post_office,136
prison,1
pub,74
public_building,4
recycling,31
recycling_clothes,1
restaurant,2.939
ruins,3
school,384
shelter,33
shoe_shop,420
sports_centre,39
sports_shop,34
stadium,1
stationery,421
supermarket,904
swimming_pool,5
telephone,53
theatre,33
toilet,41
tourist_info,42
tower,6
town_hall,7
toy_shop,28
travel_agent,474
university,38
vending_machine,3
veterinary,124
video_shop,13
viewpoint,32
waste_basket,183
water_tower,2
water_well,2
wayside_shrine,3
zoo,1
